0,1,2,3,4,5,6
-0.98461413,-0.5598729,-1.0017644,0.7043671,-1.6873372,-0.7415911,-0.7057744
-0.9773418,-0.56337094,-1.0073602,0.68485427,-1.68437,-0.74741644,-0.7356188
-0.95368683,-0.55404496,-1.0004324,0.70077777,-1.6653496,-0.74389875,-0.7159784
-0.95507216,-0.5528687,-1.0047052,0.70536935,-1.6747376,-0.7416624,-0.69891655
-0.98798037,-0.56753755,-1.0254827,0.66559094,-1.6927631,-0.751333,-0.7294055
-0.9721129,-0.5602183,-1.0223284,0.6687026,-1.647619,-0.74905986,-0.7072687
-0.9807458,-0.56722295,-1.0346061,0.64486563,-1.6337919,-0.7545709,-0.72098607
-1.0027558,-0.57622814,-1.0496889,0.6246594,-1.6503925,-0.75843006,-0.7347124
-1.0148798,-0.5821613,-1.0594356,0.6000104,-1.6587102,-0.76008,-0.7542438
-1.0431051,-0.58792984,-1.068001,0.5743841,-1.7081337,-0.7601027,-0.77540123
-1.063475,-0.5934435,-1.0766916,0.54491305,-1.7235242,-0.75437856,-0.7957938
-1.0625846,-0.5897135,-1.0725423,0.5564882,-1.7270708,-0.74816287,-0.79579014
-1.0934596,-0.60222733,-1.0857384,0.54214025,-1.7419575,-0.7525747,-0.813295
-1.0733106,-0.5865767,-1.0648966,0.5761231,-1.7137698,-0.7387264,-0.7662974
-1.0626979,-0.5834264,-1.0589619,0.5711986,-1.6761867,-0.73547345,-0.7675158
-1.0672141,-0.5873498,-1.0629578,0.55756867,-1.6532056,-0.737822,-0.76969624
-1.0849898,-0.59696245,-1.0714588,0.5465238,-1.6435262,-0.7437605,-0.78168684
-1.0857266,-0.593143,-1.0629957,0.56819344,-1.659554,-0.736864,-0.7655579
-1.0707669,-0.588134,-1.0530038,0.59327936,-1.6431224,-0.7298834,-0.7530085
-1.0582234,-0.58480734,-1.0453472,0.60399544,-1.6360319,-0.7224846,-0.7450774
-1.0858121,-0.59118867,-1.0550125,0.5991743,-1.6799397,-0.7209196,-0.74654883
-1.1021142,-0.59909296,-1.0629635,0.5832441,-1.6928829,-0.71989346,-0.75882405
-1.1130581,-0.5999938,-1.0684516,0.58247435,-1.7123601,-0.71500194,-0.7387091
-1.1751041,-0.6175413,-1.0976564,0.5627948,-1.7981861,-0.7140399,-0.7351937
-1.2373582,-0.63901293,-1.1296139,0.52731,-1.8377464,-0.7179853,-0.7520119
-1.3170285,-0.6687149,-1.169862,0.49361172,-1.9043925,-0.7142547,-0.74991477
-1.2944925,-0.66184336,-1.1585207,0.5223362,-1.8495913,-0.6962112,-0.69560343
-1.2615004,-0.65640426,-1.1431751,0.52622855,-1.7900546,-0.6938096,-0.69772923
-1.2930942,-0.67065233,-1.1505826,0.5086931,-1.8208729,-0.7000027,-0.7014693
-1.253592,-0.6540355,-1.1203542,0.5352185,-1.7649537,-0.6933342,-0.6722925
-1.2839913,-0.66762066,-1.1323321,0.51041436,-1.7915819,-0.7040297,-0.6976378
-1.2544606,-0.6570743,-1.1125822,0.5441956,-1.7329835,-0.6958035,-0.6556891
-1.2834772,-0.6666993,-1.1188936,0.5438986,-1.7815604,-0.6988833,-0.65282196
-1.3231342,-0.67627716,-1.1318972,0.5430553,-1.8401554,-0.70035064,-0.64068264
-1.351046,-0.684328,-1.1442052,0.53858846,-1.9022747,-0.7024974,-0.6452936
-1.3272552,-0.6790966,-1.1373856,0.5494795,-1.8748732,-0.6940596,-0.6223736
-1.2907796,-0.6682265,-1.1218475,0.57418555,-1.8370671,-0.6799016,-0.5993578
-1.2781842,-0.66194606,-1.1099384,0.5905311,-1.8463264,-0.6749639,-0.5872709
-1.2277207,-0.6431789,-1.0787861,0.6532383,-1.7930927,-0.6543753,-0.52856165
-1.2328558,-0.6481806,-1.0753694,0.6505878,-1.8128985,-0.6565171,-0.5535578
-1.2390704,-0.65155464,-1.0750861,0.6382766,-1.811563,-0.661451,-0.5772331
-1.2352668,-0.6446816,-1.0684962,0.6529263,-1.8037697,-0.6590421,-0.55438185
-1.2794151,-0.6579909,-1.0889871,0.62695295,-1.8558881,-0.66876435,-0.5705917
-1.2745209,-0.65371925,-1.0813453,0.6461834,-1.8276896,-0.6603031,-0.53530705
-1.3266368,-0.66844,-1.0926192,0.6150502,-1.9040084,-0.66648066,-0.5672445
-1.3516235,-0.6678425,-1.0834379,0.60408884,-1.9364806,-0.6642647,-0.5616455
-1.3461473,-0.6552585,-1.0544668,0.6281816,-1.9329611,-0.6481874,-0.52278405
-1.3318548,-0.6428722,-1.0330349,0.63983345,-1.9113166,-0.64355254,-0.51412696
-1.2893391,-0.6170249,-1.0006666,0.6795764,-1.8777845,-0.63175267,-0.46898082
-1.2733126,-0.6026906,-0.98189455,0.70844126,-1.8698562,-0.6298744,-0.43759248
-1.2924728,-0.60517335,-0.9847767,0.69108033,-1.8833156,-0.6411013,-0.45565152
-1.2734038,-0.589067,-0.96658343,0.70998406,-1.8474859,-0.63648957,-0.42540228
-1.2886448,-0.5931779,-0.97366333,0.67883456,-1.8488988,-0.64716744,-0.46763706
-1.2995846,-0.59596705,-0.98151326,0.6580826,-1.8331494,-0.6538653,-0.49692723
-1.2767482,-0.58179426,-0.96410143,0.6782714,-1.786933,-0.64779687,-0.48504192
-1.2618177,-0.57367915,-0.95525014,0.6881213,-1.7558701,-0.6458672,-0.48865527
-1.2617798,-0.56699365,-0.94934285,0.70941687,-1.7547569,-0.6411228,-0.45987564
-1.2437755,-0.56000173,-0.9400095,0.72028536,-1.7160292,-0.63811016,-0.4414531
-1.2498133,-0.5575336,-0.9390286,0.7206836,-1.7229571,-0.64021033,-0.43847907
-1.2602291,-0.56370884,-0.9489422,0.707676,-1.7182801,-0.6474301,-0.4501081
-1.2636647,-0.56433904,-0.9530406,0.70901644,-1.7061831,-0.64867336,-0.43901488
